threshold,tolerance_type,tolerance_value,precision,recall,F1,num_detected,num_true,saturation_level
0.0,full_window,100,0.49172768782143783,0.9175223214285714,0.6251847301027346,12.958333333333334,5.5625,0
0.0,half_window,50,0.321025271025271,0.7195560515873015,0.4335247465836087,12.958333333333334,5.5625,0
0.0,quarter_window,25,0.16334039224664224,0.38272569444444443,0.22388632919333973,12.958333333333334,5.5625,0
1.0,full_window,100,0.5952392225829726,0.7352306547619047,0.6362369107773677,7.65625,5.5625,0
1.0,half_window,50,0.42758199555074555,0.5617435515873016,0.4656455411357809,7.65625,5.5625,0
1.0,quarter_window,25,0.23025455447330448,0.31628224206349204,0.25506927542773133,7.65625,5.5625,0
2.0,full_window,100,0.6410796957671957,0.3824032738095238,0.439941374721047,2.8645833333333335,5.5625,0
2.0,half_window,50,0.4920345568783069,0.2710565476190476,0.3168650061180549,2.8645833333333335,5.5625,0
2.0,quarter_window,25,0.28703290343915344,0.15876736111111112,0.18562276843526845,2.8645833333333335,5.5625,0
3.0,full_window,100,0.3098958333333333,0.12526041666666668,0.16586364343717286,0.7708333333333334,5.5625,0
3.0,half_window,50,0.20850694444444443,0.07935267857142857,0.10659271284271284,0.7708333333333334,5.5625,0
3.0,quarter_window,25,0.12170138888888889,0.04857390873015873,0.06478475228475229,0.7708333333333334,5.5625,0
4.0,full_window,100,0.109375,0.03802083333333333,0.053323412698412696,0.21875,5.5625,0
4.0,half_window,50,0.06770833333333333,0.021527777777777774,0.03074570105820106,0.21875,5.5625,0
4.0,quarter_window,25,0.046875,0.012499999999999999,0.018535052910052908,0.21875,5.5625,0
5.0,full_window,100,0.041666666666666664,0.013715277777777778,0.02003968253968254,0.07291666666666667,5.5625,0
5.0,half_window,50,0.022569444444444444,0.007291666666666666,0.010582010582010581,0.07291666666666667,5.5625,0
5.0,quarter_window,25,0.013888888888888888,0.003472222222222222,0.005291005291005291,0.07291666666666667,5.5625,0
6.0,full_window,100,0.010416666666666666,0.003472222222222222,0.005208333333333333,0.020833333333333332,5.5625,0
6.0,half_window,50,0.010416666666666666,0.003472222222222222,0.005208333333333333,0.020833333333333332,5.5625,0
6.0,quarter_window,25,0.005208333333333333,0.001736111111111111,0.0026041666666666665,0.020833333333333332,5.5625,0
7.0,full_window,100,0.0,0.0,0.0,0.0,5.5625,0
7.0,half_window,50,0.0,0.0,0.0,0.0,5.5625,0
7.0,quarter_window,25,0.0,0.0,0.0,0.0,5.5625,0
8.0,full_window,100,0.0,0.0,0.0,0.0,5.5625,0
8.0,half_window,50,0.0,0.0,0.0,0.0,5.5625,0
8.0,quarter_window,25,0.0,0.0,0.0,0.0,5.5625,0
9.0,full_window,100,0.0,0.0,0.0,0.0,5.5625,0
9.0,half_window,50,0.0,0.0,0.0,0.0,5.5625,0
9.0,quarter_window,25,0.0,0.0,0.0,0.0,5.5625,0
10.0,full_window,100,0.0,0.0,0.0,0.0,5.5625,0
10.0,half_window,50,0.0,0.0,0.0,0.0,5.5625,0
10.0,quarter_window,25,0.0,0.0,0.0,0.0,5.5625,0
11.0,full_window,100,0.0,0.0,0.0,0.0,5.5625,0
11.0,half_window,50,0.0,0.0,0.0,0.0,5.5625,0
11.0,quarter_window,25,0.0,0.0,0.0,0.0,5.5625,0
