saturation_level,tolerance_type,precision,recall,F1
0,full_window,0.10473337013515585,0.10550595238095237,0.09265705179094051
0,half_window,0.07380205773062916,0.07923811885865457,0.06519828817398582
0,quarter_window,0.04134768863191482,0.04400273998488284,0.035990159533753174
1,full_window,0.22186211257683597,0.1801492819349962,0.1745063795725697
1,half_window,0.18430095846937583,0.14963447184429327,0.14004408239721725
1,quarter_window,0.10700611295411716,0.0847287178760393,0.07950923673931341
2,full_window,0.45616227770245626,0.2967462679516251,0.3184521426179317
2,half_window,0.41917748463507387,0.2614908116024187,0.2783765383435086
2,quarter_window,0.25373980420483394,0.15911635487528344,0.1681634902684149
3,full_window,0.6793178423758781,0.42776242441421014,0.47190555583417676
3,half_window,0.6344301889688795,0.37790237622826905,0.41859496042671346
3,quarter_window,0.39270001933692406,0.23621563208616778,0.25868815111784466
4,full_window,0.7951385204350453,0.5146317554799698,0.5669423626137782
4,half_window,0.7394642847264521,0.46211852796674224,0.5066087916558251
4,quarter_window,0.4538530697341096,0.2948330026455026,0.3186354224519691
5,full_window,0.8364418575640564,0.590578939909297,0.6347587379014071
5,half_window,0.7724567128311438,0.5320117630385488,0.566065383878649
5,quarter_window,0.49021139649203377,0.3445590041572184,0.3619710613750771
6,full_window,0.8434680454025693,0.6528108465608465,0.682632754878235
6,half_window,0.7678979557699795,0.5884111630763417,0.6069083016042656
6,quarter_window,0.490840583028083,0.3813769605064248,0.38978543875611615
7,full_window,0.8278179781527997,0.689438066893424,0.7018202210056974
7,half_window,0.7465108180509966,0.6266439909297052,0.6258107546994125
7,quarter_window,0.48077783658140805,0.4135983560090703,0.40754103256290636
